ID,GENE,VOL
45,Ctnnb1,5673688
46,Fgf8_1009,67598
47,Fgf8_1028,27832
48,Fzd1,515619
49,Fzd10,3644620
50,Fzd3,3793904
51,Fzd4,157650
52,Fzd5,265320
53,Fzd6,3228769
54,Fzd7,2263985
55,Fzd8,2742695
56,Fzd9,327569
57,Lef1,2414676
58,PCNA_B,2258472
59,PCNA_C,3054671
60,Sfrp1,2304559
61,Sfrp2,4169934
62,Sfrp3,2704049
63,Sfrp4,2253489
64,Shh,385609
65,Tcf7,4137336
66,Tcf7l1,3381256
67,Tcf7l2,2486259
68,Wif1,1408138
69,Wise,1848536
70,Wnt1,154892
71,Wnt10A,413643
72,Wnt10B,51179
73,Wnt11,3196672
74,Wnt16,463013
75,Wnt2,981554
76,Wnt2B,51084
77,Wnt3,1028642
78,Wnt3A,377281
79,Wnt4,592591
80,Wnt5A,429701
81,Wnt5B,17485
82,Wnt6,1236140
83,Wnt7A,884601
84,Wnt7B,1173183
85,Wnt8A,143251
86,Wnt8B,108590
87,Wnt9A,271095
88,Wnt9B,83024
