stage,domain_name,min_x,mean_x,max_x,min_y,mean_y,max_y,min_z,mean_z,max_z
TS17,2ndBranchialArch_LHS,-64,-38,3,-172,-124,0,0,593,695
TS17,2ndBranchialArch_RHS,-7,39,67,-170,-109,5,0,579,671
TS17,FitzP_BranchialArch_L,-85,-25,14,-187,-65,5,0,349,736
TS17,diencephalon,-70,5,75,-106,-8,50,0,151,436
TS17,diencephalon_floor_plate,-31,4,44,-65,-53,-34,23,147,403
TS17,embryo,-124,-2,123,-198,-36,67,0,728,1592
TS17,eye,-83,-5,80,-81,-48,0,0,221,425
TS17,forelimb_L,-124,-86,0,-118,-67,4,0,969,1071
TS17,forelimb_L_AER,-121,-95,0,-92,-74,0,0,948,1023
TS17,forelimb_L_PZ,-124,-97,0,-99,-75,0,0,966,1029
TS17,forelimb_L_anterior,-121,-83,0,-109,-66,0,0,992,1071
TS17,forelimb_L_dorsal,-124,-87,0,-94,-54,6,0,967,1025
TS17,forelimb_L_flank,-67,-46,0,-88,-54,0,0,1057,1130
TS17,forelimb_L_flank_proximal,-103,-49,0,-124,-48,30,0,965,1092
TS17,forelimb_L_flank_proximal_v2,-103,-53,0,-124,-54,29,0,963,1092
TS17,forelimb_L_middle,-124,-99,0,-118,-76,0,0,971,1011
TS17,forelimb_L_posterior,-121,-79,0,-113,-67,0,0,939,973
TS17,forelimb_L_proximal,-112,-79,0,-116,-57,4,0,974,1011
TS17,forelimb_L_ventral,-122,-70,0,-119,-82,0,0,920,1036
TS17,forelimb_R,0,90,123,-111,-67,19,0,951,1553
TS17,forelimb_R_AER,0,86,123,-97,-67,0,0,813,1549
TS17,forelimb_R_PZ,0,101,123,-106,-72,0,0,921,1551
TS17,forelimb_R_anterior,0,83,117,-112,-77,0,0,989,1038
TS17,forelimb_R_dorsal,0,89,123,-102,-56,27,0,976,1591
TS17,forelimb_R_flank,0,39,67,-87,-54,6,0,1040,1120
TS17,forelimb_R_middle,0,98,120,-111,-70,0,0,967,1015
TS17,forelimb_R_posterior,0,81,109,-108,-53,18,0,945,1549
TS17,forelimb_R_proximal,0,79,104,-112,-68,6,0,983,1030
TS17,forelimb_R_ventral,0,75,119,-147,-84,0,0,944,1045
TS17,heart,-51,-6,43,-198,-139,0,0,735,1326
TS17,hindlimb_L,-79,-46,49,-72,-24,32,0,1263,1378
TS17,hindlimb_R,0,47,73,-52,-23,1,0,1291,1371
TS17,hyoid_arch,-65,-2,65,-169,-136,0,0,586,695
TS17,liver,-44,-5,40,-179,-128,0,0,911,1077
TS17,mandibular_arch,-68,-1,68,-187,-133,0,0,545,702
TS17,maxillary_process,-74,4,75,-140,-48,8,0,428,555
TS17,mesencephalon,-73,1,76,-38,14,50,0,294,384
TS17,metencephalon,-71,0,76,-126,-2,67,0,413,611
TS17,neural_tube,-48,-6,40,-123,17,65,0,943,1580
TS17,olfactory_placode,-88,-1,86,-73,2,63,0,33,440
TS17,otic_pit,-55,0,57,-118,-12,37,0,538,602
TS17,rathke_pouch,-18,1,17,-129,-79,-45,67,259,509
TS17,tail_bud,-22,1,78,-104,-3,25,0,1370,1592
TS17,telencephalon,-85,3,87,-61,16,60,0,68,327
TS17,Ctnnb1,-119,-1,123,-186,-38,65,0,747,1581
TS17,Fgf8_1009,-123,3,121,-171,-54,62,0,798,1584
TS17,Fgf8_1028,-122,-1,122,-179,-57,49,0,968,1345
TS17,Fzd1,-122,-13,121,-191,-53,61,0,694,1558
TS17,Fzd10,-123,0,123,-191,-6,67,0,751,1588
TS17,Fzd3,-122,-3,118,-187,-6,67,0,596,1592
TS17,Fzd4,-77,0,106,-181,-32,66,0,456,1421
TS17,Fzd5,-123,6,121,-189,-75,63,0,842,1588
TS17,Fzd6,-123,-3,123,-190,-6,64,0,738,1590
TS17,Fzd7,-123,-5,122,-194,-6,64,0,646,1562
TS17,Fzd8,-123,6,123,-183,2,66,0,744,1589
TS17,Fzd9,-123,6,121,-187,-21,66,0,520,1496
TS17,Lef1,-123,-3,123,-186,-21,64,0,799,1591
TS17,PCNA_B,-117,1,120,-186,-25,66,0,703,1566
TS17,PCNA_C,-121,0,122,-188,-24,65,0,692,1591
TS17,Sfrp1,-124,7,123,-191,-45,66,0,731,1591
TS17,Sfrp2,-123,0,123,-184,-11,66,0,660,1578
TS17,Sfrp3,-124,0,123,-194,-42,65,0,787,1592
TS17,Sfrp4,-112,16,119,-180,-30,62,0,775,1586
TS17,Shh,-109,-2,107,-178,-40,57,0,790,1527
TS17,Tcf7,-123,0,123,-198,-18,64,0,813,1563
TS17,Tcf7l1,-121,-3,123,-186,-28,61,0,757,1454
TS17,Tcf7l2,-122,-5,118,-195,-53,61,0,572,1482
TS17,Wif1,-120,5,122,-197,-39,64,0,598,1590
TS17,Wise,-121,0,122,-194,-15,66,0,651,1517
TS17,Wnt1,-90,0,108,-188,29,67,0,635,1426
TS17,Wnt10A,-121,2,122,-188,6,65,0,397,1587
